order_id,product_id,quantity,unit_price,cost
38,27,1,476,333
38,63,2,61,42
38,50,1,70,49
39,97,1,452,316
39,82,1,285,199
40,14,3,246,172
40,32,1,108,75
40,47,3,215,150
41,33,3,287,200
41,76,3,218,152
42,34,3,402,281
42,23,3,161,112
42,20,3,213,149
42,41,2,371,259
42,99,3,438,306
43,10,1,166,116
43,75,1,279,195
43,8,2,439,307
43,76,2,290,203
44,75,3,489,342
44,68,3,278,194
44,46,1,480,336
45,19,1,134,93
46,4,2,339,237
47,40,1,449,314
48,81,1,149,104
48,90,1,452,316
48,41,1,176,123
49,54,3,135,94
50,18,3,359,251
50,92,3,99,69
50,51,2,375,262
50,3,1,495,346
51,10,3,409,286
51,70,3,483,338
51,16,1,122,85
51,18,1,478,334
52,80,3,425,297
53,6,3,216,151
53,85,3,68,47
53,18,1,163,114
53,74,1,281,196
53,45,1,130,91
54,51,3,150,105
55,21,2,62,43
56,28,3,299,209
56,27,3,450,315
57,60,1,84,58
58,50,3,430,301
59,64,3,294,205
60,1,2,349,244
60,94,1,137,95
60,21,1,238,166
61,37,3,371,259
61,72,2,292,204
62,36,1,73,51
62,93,2,276,193
62,57,3,100,70
63,4,1,362,253
63,61,2,301,210
63,35,3,282,197
63,88,3,112,78
64,31,2,118,82
64,85,1,285,199
64,87,3,425,297
64,40,3,356,249
64,22,3,357,249
65,45,3,369,258
65,83,1,174,121
66,20,3,248,173
66,61,3,215,150
66,9,2,104,72
66,84,3,277,193
66,66,2,291,203
67,2,2,61,42
67,92,1,113,79
67,63,1,451,315
68,15,3,417,291
69,33,2,478,334
69,42,1,400,280
69,51,3,426,298
69,3,3,115,80
69,42,2,367,256
70,27,3,163,114
70,95,1,95,66
70,76,2,429,300
70,69,1,311,217
71,81,2,158,110
71,93,2,298,208
71,28,1,295,206
71,8,3,223,156
72,45,3,471,329
73,8,3,66,46
73,40,3,324,226
73,69,1,419,293
73,52,3,329,230
73,76,2,156,109
74,61,2,156,109
75,74,3,457,319
75,34,2,302,211
75,19,2,414,289
75,86,2,378,264
76,48,2,77,53
76,14,2,145,101
76,8,1,213,149
76,10,3,127,88
77,18,2,157,109
78,28,3,346,242
78,64,1,355,248
78,49,2,362,253
78,69,1,376,263
78,34,1,173,121
79,30,2,415,290
79,51,3,360,251
80,24,2,405,283
80,22,1,377,263
80,88,3,106,74
80,68,1,105,73
80,98,3,474,331
81,13,3,297,207
82,39,1,404,282
82,6,3,325,227
82,83,2,52,36
82,45,3,489,342
83,66,1,330,230
83,3,3,60,42
84,5,3,199,139
84,40,2,115,80
84,7,1,382,267
84,11,3,185,129
84,32,1,82,57
85,97,1,482,337
85,22,1,408,285
85,85,1,58,40
85,49,3,135,94
85,85,3,285,199
86,98,3,408,285
86,93,1,84,58
86,6,3,496,347
86,4,3,299,209
87,49,2,346,242
87,95,3,320,224
87,6,3,232,162
88,49,1,222,155
89,35,1,332,232
89,55,3,492,344
90,92,2,500,350
91,37,3,470,329
92,92,1,292,204
92,72,2,74,51
92,68,3,331,231
93,81,2,200,140
93,68,2,377,263
93,86,1,471,329
94,43,3,51,35
94,29,1,184,128
95,15,1,289,202
95,33,3,112,78
96,91,2,79,55
96,79,2,212,148
96,85,3,236,165
96,92,2,108,75
97,28,3,274,191
97,97,1,245,171
97,1,2,304,212
97,85,3,410,287
97,91,1,389,272
98,52,2,132,92
98,3,1,211,147
98,93,1,366,256
99,63,1,107,74
99,97,1,336,235
99,86,1,161,112
99,51,1,290,203
99,14,3,179,125
100,35,3,486,340
100,78,1,74,51
100,38,2,475,332
101,79,1,442,309
101,64,3,465,325
101,24,3,88,61
101,98,3,399,279
102,87,3,181,126
102,19,3,57,39
102,9,3,376,263
103,99,1,98,68
104,11,3,431,301
104,96,2,90,62
104,36,2,357,249
104,64,2,185,129
104,73,2,371,259
105,76,1,321,224
105,72,2,291,203
105,83,3,153,107
106,36,3,250,175
106,49,3,354,247
106,17,2,290,203
106,51,2,345,241
106,89,3,189,132
107,20,2,80,56
107,5,3,125,87
107,23,2,343,240
107,61,1,169,118
107,82,1,344,240
108,13,3,152,106
108,91,3,420,294
108,74,2,482,337
108,11,2,164,114
109,71,3,375,262
109,24,3,111,77
109,40,2,434,303
109,29,3,178,124
110,18,2,171,119
110,87,1,139,97
110,89,2,323,226
111,55,2,346,242
111,94,2,443,310
112,27,3,245,171
113,68,1,439,307
113,76,3,120,84
114,38,2,90,62
114,10,2,389,272
115,96,2,86,60
115,25,1,270,189
115,33,2,349,244
116,12,2,445,311
116,35,3,356,249
117,57,2,201,140
117,14,1,284,198
117,9,3,361,252
117,99,2,330,230
117,57,1,73,51
118,71,1,276,193
118,38,1,440,308
118,98,1,491,343
119,83,2,490,343
119,30,3,323,226
120,9,3,52,36
120,61,2,458,320
120,50,1,308,215
120,11,1,141,98
120,69,2,137,95
121,96,3,473,331
121,98,3,216,151
121,94,1,484,338
121,97,2,369,258
121,49,2,52,36
122,80,1,408,285
122,82,2,397,277
122,80,2,436,305
122,59,3,123,86
123,54,3,453,317
123,4,2,493,345
124,45,1,338,236
125,1,3,77,53
125,98,1,445,311
125,58,1,475,332
125,37,3,396,277
126,27,3,122,85
127,65,3,174,121
127,65,2,63,44
127,8,2,451,315
127,56,3,470,329
128,23,2,100,70
128,3,3,190,133
128,52,3,147,102
128,47,1,357,249
128,48,1,380,266
129,89,1,332,232
129,33,1,71,49
129,87,3,374,261
130,58,2,367,256
130,61,1,436,305
130,44,3,441,308
130,24,1,80,56
131,42,2,389,272
132,34,1,329,230
132,33,3,238,166
132,65,3,343,240
132,56,1,114,79
132,31,3,222,155
133,50,2,270,189
134,49,2,231,161
134,35,1,360,251
134,17,3,105,73
134,29,3,78,54
134,99,1,314,219
135,29,3,104,72
135,43,1,488,341
136,25,2,65,45
136,60,3,411,287
136,100,1,232,162
136,11,3,428,299
137,77,1,280,196
137,29,1,249,174
137,58,2,189,132
137,79,2,426,298
138,35,1,204,142
138,65,1,416,291
138,35,1,115,80
138,73,3,487,340
139,73,2,248,173
139,91,1,271,189
139,100,1,306,214
139,31,2,425,297
140,16,1,492,344
140,20,1,384,268
140,1,1,69,48
140,2,2,407,284
141,56,1,357,249
142,64,1,221,154
142,38,1,216,151
142,71,3,451,315
143,9,1,489,342
143,91,2,363,254
143,40,1,303,212
143,100,1,492,344
144,6,1,497,347
145,27,2,439,307
145,81,1,443,310
145,25,2,120,84
145,59,1,488,341
145,39,1,420,294
146,74,2,101,70
146,13,1,192,134
147,13,3,481,336
147,82,3,356,249
147,68,2,258,180
148,62,2,373,261
148,29,1,490,343
149,86,1,289,202
149,21,3,293,205
149,5,2,402,281
150,70,2,89,62
150,28,1,494,345
151,98,3,155,108
151,19,1,232,162
152,64,3,200,140
152,22,3,71,49
153,73,1,324,226
153,41,2,478,334
153,63,3,268,187
153,89,2,339,237
153,99,3,268,187
154,31,2,252,176
154,30,1,290,203
154,89,1,368,257
154,33,1,461,322
155,58,1,330,230
156,98,1,288,201
156,24,2,145,101
157,60,2,270,189
157,32,2,117,81
158,72,2,311,217
158,52,2,455,318
158,84,1,450,315
158,76,3,439,307
159,87,2,248,173
159,74,1,416,291
159,75,2,69,48
159,84,2,116,81
160,74,3,194,135
161,94,2,340,237
161,89,3,499,349
161,39,2,413,289
162,19,1,189,132
162,48,1,268,187
162,71,2,193,135
163,43,1,384,268
163,35,2,105,73
163,66,1,77,53
163,62,3,284,198
163,43,3,84,58
164,42,2,238,166
165,12,3,111,77
165,97,1,438,306
165,71,1,139,97
166,37,2,479,335
166,90,3,215,150
167,80,3,153,107
168,86,3,290,203
168,63,3,382,267
168,11,1,188,131
168,97,2,202,141
168,12,1,489,342
169,46,1,220,154
170,70,3,258,180
170,97,1,315,220
170,19,3,330,230
170,27,1,286,200
170,36,3,83,58
171,78,2,172,120
171,13,3,312,218
171,98,1,132,92
171,46,3,164,114
171,62,3,150,105
172,49,2,338,236
172,38,3,245,171
172,92,1,185,129
172,14,2,51,35
173,100,3,371,259
173,30,2,497,347
173,90,1,475,332
174,40,1,149,104
174,8,3,64,44
174,4,2,82,57
175,51,2,462,323
175,51,2,341,238
175,64,3,334,233
175,89,2,327,228
176,45,1,273,191
176,72,3,132,92
177,54,3,264,184
177,31,3,349,244
177,10,2,377,263
178,74,2,260,182
178,86,2,484,338
178,7,3,300,210
178,75,2,315,220
179,59,2,345,241
179,67,2,269,188
179,100,1,275,192
180,61,3,67,46
180,68,2,272,190
181,12,2,166,116
181,20,1,371,259
181,66,3,477,333
181,85,2,172,120
181,71,1,255,178
182,14,2,248,173
182,86,2,232,162
182,89,2,95,66
182,6,2,317,221
182,51,3,344,240
183,25,1,153,107
183,13,1,174,121
183,69,2,481,336
183,98,1,340,237
183,77,2,238,166
184,60,1,123,86
184,23,3,440,308
184,88,2,495,346
185,61,2,80,56
185,18,2,444,310
185,22,3,298,208
186,18,2,274,191
187,76,1,63,44
187,87,2,80,56
187,75,2,57,39
187,32,2,115,80
188,81,2,224,156
189,43,1,422,295
190,96,2,77,53
190,31,2,245,171
190,2,3,97,67
190,48,3,432,302
190,36,2,96,67
191,39,2,232,162
191,64,1,77,53
191,88,3,294,205
191,51,1,201,140
191,17,2,470,329
192,32,2,418,292
192,52,3,262,183
192,31,1,294,205
192,62,3,401,280
193,56,3,407,284
193,64,1,478,334
193,80,3,268,187
193,29,1,476,333
194,48,3,351,245
194,24,3,158,110
194,9,1,347,242
194,79,3,417,291
195,56,3,391,273
195,30,3,57,39
195,17,3,371,259
195,99,2,204,142
196,62,2,73,51
196,43,2,401,280
196,39,2,126,88
197,54,3,99,69
197,68,2,167,116
197,73,2,128,89
198,98,2,405,283
198,89,2,268,187
198,37,2,257,179
199,59,3,249,174
200,79,2,137,95
200,14,3,417,291
200,78,3,463,324
201,64,3,290,203
201,30,3,396,277
201,23,2,302,211
201,60,1,230,161
201,57,1,158,110
202,51,3,455,318
203,29,2,369,258
203,34,3,288,201
203,7,2,210,147
204,83,1,450,315
204,47,3,242,169
204,94,3,193,135
204,95,1,277,193
204,6,3,203,142
205,87,3,152,106
205,69,2,237,165
205,96,2,173,121
205,19,2,443,310
205,94,2,215,150
206,85,3,238,166
206,58,2,98,68
206,86,1,384,268
207,26,2,209,146
208,25,3,136,95
208,19,2,300,210
208,84,1,122,85
208,44,3,172,120
209,67,2,415,290
209,58,1,396,277
209,13,3,155,108
210,27,2,93,65
210,34,3,144,100
210,23,1,60,42
211,57,3,122,85
211,67,1,421,294
212,64,3,359,251
212,26,3,398,278
212,55,1,103,72
213,28,1,87,60
214,95,3,105,73
214,6,3,303,212
214,27,3,176,123
214,71,3,228,159
214,100,2,278,194
215,74,3,454,317
215,97,3,70,49
215,9,1,135,94
215,79,1,408,285
216,24,2,424,296
216,18,3,453,317
216,4,3,168,117
216,32,1,299,209
216,53,2,317,221
217,26,2,353,247
217,73,3,481,336
217,61,2,488,341
218,54,2,325,227
218,98,2,431,301
219,35,2,284,198
219,63,3,316,221
219,28,2,313,219
220,19,1,222,155
221,89,1,341,238
222,75,1,54,37
223,9,3,294,205
223,44,3,479,335
224,84,2,187,130
225,41,1,418,292
226,45,1,482,337
226,48,1,170,118
227,48,3,101,70
227,68,3,156,109
227,77,3,432,302
228,71,3,91,63
229,64,3,56,39
229,4,3,326,228
229,74,3,148,103
230,33,3,396,277
230,58,1,51,35
230,57,3,87,60
230,80,1,385,269
231,12,3,309,216
231,5,1,153,107
232,7,2,53,37
233,100,2,84,58
233,46,1,320,224
233,89,2,463,324
233,42,3,451,315
233,96,1,271,189
234,1,1,87,60
234,19,1,374,261
234,74,1,62,43
234,45,1,231,161
234,84,1,500,350
235,76,1,444,310
235,82,3,490,343
236,65,2,258,180
236,90,3,351,245
237,16,2,491,343
237,92,2,418,292
238,50,1,500,350
238,60,3,258,180
238,60,1,110,77
238,55,2,493,345
239,45,1,311,217
240,81,1,175,122
240,54,1,396,277
240,51,3,233,163
240,55,2,431,301
240,35,2,205,143
241,58,1,301,210
241,57,1,385,269
241,28,3,397,277
242,83,1,409,286
242,60,2,400,280
242,94,1,304,212
242,21,1,58,40
243,12,2,463,324
244,43,1,76,53
244,38,2,457,319
244,55,2,284,198
245,82,1,233,163
246,93,2,160,112
246,10,1,357,249
246,49,2,173,121
246,59,1,98,68
247,75,1,207,144
247,63,2,454,317
248,55,3,218,152
248,27,1,161,112
248,48,3,454,317
249,43,2,216,151
249,32,3,360,251
249,40,2,464,324
249,58,1,271,189
249,37,2,434,303
250,54,1,376,263
250,98,1,150,105
251,98,3,81,56
252,75,2,237,165
252,58,1,371,259
253,10,2,107,74
253,7,3,154,107
253,42,2,366,256
254,27,3,268,187
255,13,1,386,270
255,71,3,345,241
255,47,2,404,282
255,12,2,411,287
255,24,1,387,270
256,61,3,286,200
256,24,1,167,116
256,97,2,305,213
256,22,2,412,288
256,32,3,76,53
257,67,3,228,159
257,65,2,356,249
257,29,2,398,278
257,37,2,336,235
257,83,2,257,179
258,34,1,63,44
258,88,1,387,270
258,47,3,329,230
258,53,2,251,175
258,98,2,277,193
259,67,1,128,89
259,6,1,107,74
260,43,1,440,308
260,29,3,69,48
261,66,2,162,113
261,56,1,299,209
261,21,2,490,343
262,15,3,190,133
263,24,1,217,151
264,43,2,73,51
264,70,3,473,331
264,100,2,288,201
265,11,3,409,286
266,23,1,248,173
266,10,1,163,114
267,77,2,105,73
267,26,1,316,221
267,77,3,309,216
267,50,2,406,284
268,39,2,253,177
268,63,2,306,214
268,18,3,310,217
269,63,1,377,263
269,81,1,374,261
269,93,1,144,100
270,55,2,475,332
271,9,2,126,88
271,73,2,210,147
271,22,1,112,78
271,49,3,201,140
272,25,1,221,154
272,78,1,454,317
272,21,2,184,128
272,34,3,407,284
272,31,2,79,55
273,49,2,492,344
273,29,3,121,84
273,87,2,422,295
273,26,1,421,294
273,89,1,91,63
274,65,3,104,72
275,41,1,55,38
275,80,1,97,67
276,51,1,144,100
276,72,1,302,211
276,54,3,289,202
277,84,2,295,206
277,63,3,214,149
277,46,3,366,256
277,33,1,213,149
277,59,1,426,298
278,98,1,75,52
278,89,1,155,108
278,71,1,315,220
278,55,2,399,279
278,54,2,454,317
279,32,2,55,38
280,98,1,321,224
281,18,1,263,184
281,29,2,273,191
281,48,3,86,60
282,6,3,338,236
283,76,3,473,331
283,24,2,219,153
283,77,1,484,338
283,46,1,58,40
283,43,3,111,77
284,94,2,310,217
284,83,2,456,319
284,53,3,62,43
285,48,1,398,278
285,18,3,354,247
285,99,2,146,102
286,14,3,431,301
286,43,2,205,143
286,54,2,84,58
286,96,1,413,289
286,14,3,294,205
287,58,3,381,266
288,23,1,181,126
288,91,3,195,136
288,42,2,410,287
288,8,3,220,154
288,97,3,286,200
289,75,2,396,277
289,88,3,95,66
289,59,1,156,109
289,34,1,71,49
289,34,1,83,58
290,13,2,221,154
291,44,3,262,183
291,87,2,260,182
292,24,1,81,56
293,71,1,70,49
293,10,2,455,318
293,15,1,214,149
294,29,2,177,123
294,85,1,371,259
294,81,2,179,125
294,93,2,477,333
295,100,3,256,179
296,73,2,476,333
296,36,3,54,37
296,84,1,313,219
296,11,1,103,72
297,81,3,117,81
297,87,2,58,40
297,5,2,484,338
297,99,1,388,271
297,24,1,96,67
298,43,2,154,107
298,8,1,150,105
299,37,1,384,268
300,86,2,431,301
300,66,1,169,118
301,40,1,209,146
302,63,2,389,272
302,83,2,95,66
302,44,1,283,198
303,50,3,242,169
303,9,2,355,248
303,28,1,399,279
303,3,3,252,176
303,15,1,104,72
304,44,3,190,133
305,73,1,152,106
305,87,3,120,84
305,27,1,269,188
305,37,2,288,201
305,22,1,178,124
306,54,3,184,128
306,3,3,252,176
307,46,1,218,152
308,24,3,294,205
308,60,3,261,182
308,9,1,144,100
308,76,3,273,191
309,38,2,91,63
309,11,3,250,175
309,64,1,325,227
310,97,2,101,70
311,2,2,479,335
312,98,3,401,280
313,35,1,447,312
314,87,3,403,282
315,61,1,266,186
315,77,3,486,340
315,31,1,410,287
315,74,3,304,212
316,58,1,379,265
316,70,2,224,156
317,59,2,452,316
317,51,1,101,70
317,94,1,282,197
318,74,1,295,206
318,85,3,264,184
318,54,2,485,339
318,80,2,90,62
319,92,2,127,88
319,5,3,57,39
320,39,2,411,287
320,15,2,455,318
320,92,1,486,340
321,19,3,297,207
321,70,2,185,129
322,41,2,214,149
322,40,3,89,62
322,78,2,93,65
322,84,1,278,194
322,61,3,147,102
323,8,1,279,195
323,31,1,396,277
323,3,1,115,80
323,50,2,410,287
323,90,2,278,194
324,89,1,402,281
324,29,1,408,285
325,22,3,69,48
326,12,3,64,44
326,38,3,469,328
326,80,1,476,333
327,94,2,169,118
327,65,2,328,229
327,55,3,295,206
327,34,2,231,161
328,97,3,481,336
328,32,3,337,235
328,92,3,243,170
328,48,3,398,278
328,86,3,370,259
329,49,1,232,162
330,92,3,320,224
330,45,1,238,166
330,47,1,86,60
330,74,1,179,125
330,25,2,409,286
331,56,3,459,321
331,54,2,167,116
332,87,3,253,177
332,75,1,392,274
332,3,3,339,237
333,74,2,236,165
333,71,3,216,151
333,13,3,432,302
333,24,3,284,198
333,56,3,423,296
334,29,1,67,46
334,3,1,197,137
334,62,1,399,279
334,40,2,69,48
335,95,3,130,91
335,64,2,338,236
335,92,2,458,320
335,64,3,485,339
336,60,2,104,72
336,11,2,450,315
336,60,3,283,198
336,23,1,126,88
336,36,1,250,175
337,95,2,386,270
337,82,1,235,164
338,72,2,455,318
338,62,1,66,46
338,16,1,280,196
338,67,3,168,117
339,54,3,291,203
339,95,2,195,136
340,33,2,473,331
340,45,3,400,280
340,16,2,468,327
341,51,3,414,289
341,5,3,438,306
341,52,2,346,242
341,87,1,338,236
341,64,1,473,331
342,100,3,100,70
343,11,3,484,338
343,23,1,296,207
343,93,3,350,244
344,29,1,175,122
344,18,3,302,211
345,58,2,197,137
345,51,3,273,191
346,66,3,399,279
346,59,1,406,284
346,46,1,56,39
346,16,1,423,296
346,74,1,158,110
347,98,1,425,297
347,30,1,465,325
347,37,1,244,170
348,52,1,313,219
348,27,1,173,121
348,48,1,421,294
349,56,2,91,63
349,66,2,299,209
349,98,1,228,159
349,6,2,248,173
349,65,3,84,58
350,10,2,285,199
350,27,1,202,141
350,51,1,129,90
350,85,2,53,37
351,10,1,212,148
351,95,2,379,265
351,94,1,285,199
351,60,3,218,152
352,97,2,488,341
352,92,1,272,190
352,22,1,126,88
352,3,3,152,106
353,50,2,253,177
353,30,1,394,275
353,18,3,320,224
353,71,2,359,251
354,48,2,174,121
354,86,1,104,72
354,49,2,354,247
354,11,2,376,263
354,28,1,487,340
355,96,1,83,58
355,12,2,156,109
355,98,3,398,278
356,6,3,141,98
357,64,3,453,317
357,87,2,409,286
358,73,3,298,208
359,12,3,413,289
359,1,2,455,318
359,30,2,202,141
359,67,3,449,314
359,4,3,207,144
360,36,1,212,148
360,98,1,435,304
360,84,3,482,337
360,90,1,105,73
361,61,2,218,152
362,24,2,417,291
363,33,3,63,44
363,46,3,211,147
363,51,2,270,189
363,48,1,206,144
364,82,2,184,128
364,22,3,268,187
364,82,2,445,311
364,40,3,145,101
364,44,1,70,49
365,20,3,319,223
365,60,1,364,254
365,48,1,263,184
365,7,1,415,290
365,52,1,225,157
366,92,2,470,329
366,93,1,351,245
366,21,2,82,57
366,96,2,104,72
366,39,1,128,89
367,83,3,367,256
367,22,2,337,235
367,97,1,358,250
367,23,1,300,210
367,26,2,326,228
368,75,1,175,122
369,22,2,179,125
369,62,1,181,126
369,45,1,382,267
369,75,1,392,274
370,70,2,329,230
370,63,3,474,331
370,53,2,234,163
370,74,2,499,349
371,57,3,452,316
372,63,1,251,175
372,45,3,264,184
372,64,1,265,185
372,52,1,118,82
373,2,2,68,47
373,3,2,365,255
373,38,2,73,51
374,39,1,106,74
374,31,2,97,67
374,70,1,357,249
374,41,1,240,168
374,56,1,440,308
375,18,2,269,188
375,62,2,374,261
375,74,2,462,323
375,69,1,138,96
375,3,2,52,36
376,17,3,419,293
376,16,2,85,59
376,29,2,477,333
376,33,1,481,336
376,10,3,345,241
377,3,3,360,251
377,46,1,238,166
377,25,3,143,100
377,9,1,387,270
377,89,2,433,303
378,58,1,176,123
378,66,3,216,151
379,85,3,196,137
380,41,3,132,92
381,63,1,294,205
381,47,3,311,217
381,18,3,302,211
381,64,2,151,105
382,75,2,498,348
382,86,1,74,51
382,17,1,285,199
383,8,2,442,309
383,51,1,173,121
383,58,1,85,59
384,57,1,324,226
384,95,3,478,334
385,26,1,219,153
386,32,2,412,288
386,59,1,153,107
386,23,3,365,255
387,20,1,430,301
387,87,2,204,142
387,48,3,289,202
387,48,2,243,170
388,1,2,102,71
388,1,3,433,303
389,29,1,170,118
389,10,2,395,276
389,66,3,366,256
389,90,3,86,60
390,48,1,240,168
390,12,1,277,193
390,57,1,74,51
391,91,1,386,270
391,20,2,294,205
391,1,2,497,347
392,76,3,67,46
393,48,2,172,120
394,62,2,66,46
394,10,1,365,255
394,21,3,395,276
394,11,3,445,311
395,57,2,255,178
395,42,2,136,95
395,58,2,206,144
395,73,3,70,49
395,69,3,440,308
396,82,2,337,235
396,42,3,172,120
396,29,3,152,106
396,34,2,132,92
397,64,1,490,343
397,57,1,381,266
398,17,3,403,282
398,24,3,241,168
398,68,2,325,227
399,7,3,138,96
399,91,3,210,147
399,47,3,255,178
399,86,2,454,317
399,45,3,342,239
400,35,2,435,304
400,46,2,312,218
400,32,3,482,337
400,75,1,185,129
400,60,3,161,112
401,73,3,132,92
401,66,2,179,125
401,53,3,295,206
401,12,3,480,336
402,98,2,437,305
402,36,3,110,77
402,12,3,304,212
402,51,3,383,268
402,86,1,353,247
403,12,3,120,84
403,36,1,113,79
403,48,2,74,51
403,12,1,59,41
403,78,2,59,41
404,87,1,408,285
404,93,2,341,238
405,6,2,374,261
405,15,3,195,136
405,50,3,264,184
405,27,1,85,59
405,50,3,115,80
406,52,3,421,294
406,99,1,234,163
406,31,1,61,42
406,59,1,407,284
407,70,3,429,300
407,35,3,462,323
407,29,3,350,244
407,74,1,126,88
407,80,2,388,271
408,42,3,449,314
408,86,1,407,284
408,17,3,327,228
409,17,2,163,114
409,17,1,326,228
409,34,2,76,53
409,49,3,122,85
409,59,1,303,212
410,68,3,460,322
410,71,1,208,145
410,10,3,223,156
410,86,3,109,76
411,73,2,83,58
412,85,2,176,123
412,20,1,423,296
412,24,3,354,247
412,87,2,176,123
413,31,3,274,191
413,52,1,191,133
413,65,3,462,323
414,13,2,204,142
414,79,1,124,86
414,38,1,477,333
414,33,1,70,49
414,78,3,319,223
415,56,1,187,130
415,50,2,271,189
415,48,2,178,124
415,39,3,376,263
416,39,1,471,329
416,31,2,210,147
416,49,2,377,263
416,17,3,327,228
417,79,3,267,186
417,71,3,113,79
417,55,2,484,338
417,40,3,400,280
418,26,1,455,318
418,91,3,261,182
418,98,2,65,45
418,89,3,397,277
419,94,1,52,36
420,42,3,366,256
421,50,3,475,332
421,27,2,220,154
421,52,3,482,337
422,17,1,110,77
422,56,2,232,162
423,52,3,60,42
424,19,1,340,237
424,86,2,189,132
425,57,2,244,170
425,36,1,318,222
425,20,3,240,168
425,22,3,245,171
426,90,2,208,145
426,79,3,260,182
426,26,2,401,280
426,23,2,226,158
426,6,3,108,75
427,93,3,479,335
427,8,3,341,238
427,37,3,121,84
427,64,2,55,38
427,35,1,363,254
428,43,3,163,114
428,62,1,96,67
429,53,2,132,92
429,47,1,437,305
430,12,1,493,345
430,21,1,106,74
430,44,2,185,129
430,84,3,122,85
431,55,1,87,60
431,43,1,283,198
431,18,3,63,44
431,52,3,120,84
432,57,1,223,156
432,62,2,209,146
432,14,3,217,151
433,68,1,435,304
433,45,3,343,240
433,37,2,103,72
434,29,3,432,302
434,28,1,143,100
434,75,2,431,301
434,30,3,90,62
434,13,1,412,288
435,5,3,469,328
436,88,3,489,342
437,85,1,215,150
437,58,3,76,53
438,87,3,463,324
438,37,3,312,218
438,86,3,184,128
438,57,3,217,151
439,20,3,95,66
440,57,3,107,74
440,37,1,373,261
440,21,2,267,186
440,11,2,202,141
440,54,1,371,259
441,89,3,161,112
441,41,1,65,45
441,35,3,114,79
441,41,1,407,284
442,84,3,143,100
442,27,2,234,163
442,28,1,133,93
442,51,2,282,197
442,9,3,86,60
443,7,3,213,149
443,56,1,484,338
443,93,1,403,282
443,25,3,119,83
443,23,3,150,105
444,57,3,165,115
445,57,1,350,244
446,56,3,261,182
447,89,3,266,186
448,78,3,302,211
448,14,1,288,201
449,1,2,319,223
449,91,2,275,192
449,81,3,180,125
450,67,2,64,44
450,75,2,112,78
450,33,2,341,238
450,10,3,80,56
450,77,3,304,212
451,54,3,236,165
452,23,2,254,177
452,66,3,89,62
452,11,1,69,48
452,82,1,452,316
453,12,1,148,103
453,96,1,271,189
453,81,3,153,107
454,94,3,482,337
454,39,3,481,336
454,86,1,479,335
454,74,1,378,264
455,42,1,364,254
455,1,2,366,256
455,87,1,423,296
455,67,2,126,88
455,98,2,170,118
456,55,3,134,93
456,4,1,247,172
456,16,2,340,237
456,59,3,210,147
456,86,3,359,251
457,53,2,54,37
457,46,2,437,305
457,78,1,375,262
457,79,2,320,224
458,15,2,61,42
459,84,1,189,132
460,26,2,78,54
461,48,3,251,175
461,40,3,477,333
462,78,3,446,312
462,20,2,190,133
462,50,2,462,323
462,83,3,309,216
