customer_id,city_id,signup_date,age_group,customer_segment
184,5,2025-10-21,36-45,Frequent
185,3,2026-07-21,46-60,Frequent
186,2,2026-04-08,36-45,Frequent
187,1,2026-04-07,18-25,Occasional
188,5,2025-11-27,46-60,Premium
189,5,2025-12-02,36-45,Budget
190,4,2026-07-22,46-60,Occasional
191,3,2026-07-26,36-45,Budget
192,1,2025-11-26,36-45,Premium
193,2,2026-05-28,18-25,Occasional
194,1,2025-12-08,26-35,Budget
195,4,2026-08-01,36-45,Budget
196,5,2025-09-30,26-35,Budget
197,3,2025-08-26,26-35,Premium
198,4,2025-09-13,26-35,Occasional
199,3,2026-03-05,46-60,Frequent
200,4,2025-09-21,18-25,Occasional
201,5,2026-05-11,18-25,Occasional
202,3,2026-06-26,26-35,Premium
203,2,2026-06-15,46-60,Budget
204,3,2026-06-24,26-35,Occasional
205,4,2025-12-09,46-60,Premium
206,5,2026-07-13,18-25,Occasional
207,5,2025-10-15,36-45,Budget
208,4,2026-05-12,26-35,Budget
209,5,2025-11-24,18-25,Occasional
210,5,2025-10-21,26-35,At-Risk
211,5,2025-11-13,36-45,At-Risk
212,5,2026-06-12,36-45,Occasional
213,2,2026-07-02,18-25,Occasional
214,5,2026-06-23,18-25,Premium
215,1,2026-02-09,18-25,Premium
216,3,2025-10-13,18-25,Occasional
217,5,2025-09-08,36-45,Occasional
218,5,2025-10-01,36-45,Frequent
219,2,2026-07-25,46-60,Premium
220,3,2025-11-30,18-25,Frequent
221,1,2026-03-15,46-60,Budget
222,2,2025-09-13,18-25,Frequent
223,2,2025-09-22,36-45,Frequent
224,5,2025-09-06,18-25,Budget
225,5,2025-12-20,46-60,Budget
226,4,2025-11-03,18-25,Frequent
227,4,2026-01-17,36-45,Frequent
228,4,2025-11-27,46-60,Premium
229,2,2026-06-08,46-60,Premium
230,1,2026-03-01,26-35,Budget
231,4,2025-11-06,26-35,At-Risk
232,3,2025-11-26,18-25,Occasional
233,5,2026-04-29,26-35,Frequent
234,5,2026-01-06,18-25,Budget
235,5,2026-03-14,18-25,Premium
236,2,2026-08-14,46-60,At-Risk
237,2,2026-03-05,26-35,Occasional
238,1,2026-01-15,46-60,Frequent
239,1,2025-09-06,18-25,Budget
240,2,2026-06-07,18-25,Budget
241,3,2025-10-02,26-35,Occasional
242,5,2025-11-28,36-45,Occasional
243,2,2026-01-10,26-35,Budget
244,5,2025-09-17,36-45,Premium
245,5,2026-05-03,26-35,Occasional
246,4,2026-05-27,36-45,At-Risk
247,2,2025-10-31,46-60,At-Risk
248,3,2026-05-06,26-35,Occasional
249,1,2025-09-18,26-35,Premium
250,1,2025-09-18,18-25,Frequent
251,4,2026-04-15,36-45,Budget
252,4,2026-05-03,26-35,Premium
253,4,2026-06-30,46-60,Frequent
254,3,2026-08-03,36-45,Occasional
255,3,2026-07-28,26-35,Frequent
256,2,2025-12-10,46-60,Premium
257,2,2026-08-08,46-60,Occasional
258,5,2026-05-20,18-25,Occasional
259,4,2026-01-19,46-60,Frequent
260,5,2025-10-29,36-45,Occasional
261,1,2025-09-04,46-60,Budget
262,3,2025-11-24,18-25,Frequent
263,2,2026-02-20,18-25,Occasional
264,2,2025-12-10,46-60,Budget
265,3,2026-07-26,46-60,At-Risk
266,3,2025-11-21,18-25,At-Risk
267,4,2025-11-15,36-45,Occasional
268,3,2026-05-11,46-60,Occasional
269,1,2026-02-03,26-35,Frequent
270,2,2026-03-02,36-45,Premium
271,3,2026-04-26,26-35,Occasional
272,1,2026-01-25,18-25,Budget
273,2,2026-08-08,18-25,Premium
274,1,2025-08-24,18-25,Frequent
275,2,2026-05-23,46-60,Frequent
276,3,2026-03-08,18-25,Budget
277,4,2026-03-14,46-60,Premium
278,1,2026-04-03,18-25,Frequent
279,1,2026-06-23,18-25,Premium
280,1,2025-10-14,18-25,At-Risk
281,2,2025-09-08,46-60,Frequent
282,5,2026-01-03,46-60,Frequent
283,4,2025-12-01,46-60,At-Risk
284,3,2025-10-18,46-60,Occasional
285,1,2026-03-05,46-60,At-Risk
286,5,2026-07-15,46-60,Frequent
287,2,2025-12-09,18-25,At-Risk
288,1,2026-02-15,36-45,Occasional
289,5,2025-09-28,26-35,Premium
290,5,2026-07-15,18-25,Budget
291,3,2026-01-27,36-45,Premium
292,4,2026-01-27,26-35,Premium
293,1,2026-03-26,18-25,Frequent
294,4,2025-11-23,18-25,Premium
295,2,2025-11-07,18-25,At-Risk
296,2,2026-07-15,18-25,At-Risk
297,2,2026-01-02,46-60,At-Risk
298,1,2026-04-10,36-45,Premium
299,4,2026-01-14,26-35,Budget
300,4,2025-11-25,36-45,At-Risk
301,4,2025-09-28,46-60,Frequent
302,4,2025-11-27,36-45,Budget
303,5,2025-08-29,36-45,Occasional
304,2,2026-01-11,46-60,At-Risk
305,4,2025-09-04,18-25,Premium
306,3,2026-04-14,36-45,Premium
307,1,2025-09-14,36-45,At-Risk
308,1,2026-08-14,46-60,Frequent
309,4,2026-02-16,46-60,At-Risk
310,5,2026-07-10,26-35,Budget
311,2,2025-09-24,26-35,Premium
312,4,2025-12-04,26-35,At-Risk
313,4,2026-03-26,26-35,Premium
314,2,2025-10-08,26-35,Occasional
315,4,2026-03-07,26-35,Frequent
316,4,2025-09-05,46-60,Occasional
317,3,2026-03-25,36-45,Budget
318,2,2026-03-29,46-60,Frequent
319,5,2026-07-24,46-60,Occasional
320,5,2025-11-02,18-25,Frequent
321,4,2026-01-31,18-25,Budget
322,5,2026-01-26,36-45,Frequent
323,4,2025-09-09,18-25,Occasional
324,1,2026-04-04,36-45,At-Risk
325,1,2025-09-08,46-60,Budget
326,5,2026-02-25,18-25,Premium
327,4,2025-10-21,46-60,Budget
328,5,2026-03-17,26-35,Frequent
329,2,2025-09-30,26-35,Premium
330,5,2026-02-05,26-35,Budget
331,1,2025-10-28,18-25,Budget
332,3,2025-10-28,18-25,Budget
333,1,2026-04-04,26-35,At-Risk
334,2,2026-05-28,36-45,At-Risk
335,5,2026-07-24,26-35,Budget
336,2,2025-12-09,46-60,Frequent
337,4,2026-03-29,46-60,Occasional
338,4,2025-11-19,46-60,Premium
339,1,2025-11-22,46-60,Frequent
340,4,2026-07-14,18-25,Budget
341,3,2025-11-09,46-60,At-Risk
342,1,2026-07-15,46-60,At-Risk
343,5,2025-10-26,36-45,Premium
344,4,2026-04-04,26-35,Premium
345,3,2025-11-23,18-25,At-Risk
346,3,2026-02-03,18-25,Budget
347,4,2026-03-29,26-35,Frequent
348,2,2025-11-29,46-60,Premium
349,5,2026-04-28,46-60,Budget
350,2,2025-09-26,36-45,At-Risk
351,2,2026-08-14,46-60,Budget
352,3,2025-12-28,36-45,Premium
353,1,2026-03-29,26-35,Budget
354,4,2025-09-12,46-60,Occasional
355,2,2025-12-11,46-60,At-Risk
356,5,2025-10-15,26-35,Budget
357,2,2026-05-09,18-25,Budget
358,3,2025-12-20,26-35,Occasional
359,4,2026-02-09,18-25,Occasional
360,5,2026-02-20,18-25,At-Risk
361,2,2026-02-11,36-45,Frequent
362,3,2025-12-12,46-60,At-Risk
363,2,2026-07-09,36-45,Occasional
364,2,2026-01-07,18-25,Occasional
365,2,2026-05-29,26-35,Occasional
366,4,2026-06-05,46-60,Frequent
367,1,2025-09-08,46-60,Frequent
368,5,2026-06-09,36-45,Budget
369,5,2025-08-24,36-45,At-Risk
370,4,2025-12-20,18-25,Occasional
371,4,2025-11-21,36-45,Frequent
372,1,2026-06-03,26-35,At-Risk
373,2,2025-11-28,46-60,Premium
374,2,2026-03-03,26-35,At-Risk
375,4,2026-03-28,46-60,Premium
376,2,2026-05-07,18-25,Occasional
377,5,2026-02-21,26-35,Budget
378,5,2025-11-06,46-60,Premium
379,3,2026-06-24,18-25,Budget
380,2,2026-07-20,18-25,Frequent
381,2,2026-01-21,26-35,Occasional
382,3,2025-11-20,26-35,Premium
383,5,2026-06-07,18-25,Frequent
384,1,2026-05-22,46-60,Occasional
385,1,2026-03-29,36-45,Budget
386,4,2026-07-24,36-45,Budget
387,3,2026-05-27,36-45,Budget
388,1,2026-03-24,26-35,Frequent
389,2,2025-08-25,36-45,Budget
390,4,2026-02-19,26-35,At-Risk
391,4,2026-08-10,26-35,Budget
392,4,2026-02-09,46-60,Premium
393,4,2025-09-29,18-25,Premium
394,4,2026-03-28,18-25,Premium
395,2,2026-01-22,18-25,Frequent
396,5,2025-11-15,18-25,Budget
397,5,2025-12-13,26-35,At-Risk
398,4,2026-08-01,18-25,Premium
399,4,2026-04-06,46-60,Budget
400,2,2026-05-08,36-45,At-Risk
401,2,2025-10-26,36-45,At-Risk
402,3,2025-09-26,18-25,Budget
403,2,2026-05-11,36-45,Budget
404,5,2026-04-16,36-45,At-Risk
405,4,2025-09-27,18-25,Budget
406,4,2025-10-29,36-45,Budget
407,5,2026-06-11,46-60,At-Risk
408,3,2026-04-10,18-25,Premium
409,3,2026-07-25,18-25,Frequent
410,3,2025-09-04,26-35,Budget
411,2,2025-10-10,18-25,At-Risk
412,1,2025-09-30,36-45,Budget
413,5,2025-09-15,46-60,Premium
414,3,2025-10-07,46-60,At-Risk
415,3,2026-06-10,36-45,At-Risk
416,5,2026-06-05,26-35,Frequent
417,2,2025-10-05,26-35,At-Risk
418,1,2025-10-11,36-45,At-Risk
419,1,2026-03-10,18-25,Budget
420,2,2026-02-14,36-45,Frequent
421,1,2025-10-03,46-60,Budget
422,5,2026-04-20,36-45,Occasional
423,5,2026-06-20,36-45,At-Risk
424,1,2025-08-24,26-35,At-Risk
425,2,2025-11-21,26-35,At-Risk
426,2,2026-05-04,26-35,Frequent
427,5,2026-04-04,46-60,Budget
428,5,2026-01-20,18-25,Premium
429,1,2026-06-01,36-45,Budget
430,3,2025-10-18,18-25,Budget
431,5,2026-08-06,46-60,Occasional
432,5,2025-12-28,36-45,Occasional
433,5,2025-10-31,36-45,Occasional
434,2,2026-02-03,26-35,Occasional
435,2,2026-02-20,36-45,Occasional
436,5,2026-04-13,46-60,Budget
437,3,2025-10-10,26-35,At-Risk
438,3,2026-07-13,46-60,At-Risk
439,2,2026-02-24,46-60,Premium
440,1,2025-11-12,36-45,Premium
441,3,2025-10-02,46-60,Budget
442,4,2026-04-06,26-35,Occasional
443,5,2025-10-04,18-25,Frequent
444,1,2026-01-24,46-60,Occasional
445,2,2026-01-23,18-25,Frequent
446,2,2025-10-20,26-35,At-Risk
447,4,2026-01-07,26-35,Occasional
448,5,2026-05-23,46-60,At-Risk
449,1,2025-09-22,36-45,Occasional
450,3,2026-02-07,46-60,Budget
451,3,2026-05-17,26-35,Frequent
452,1,2026-03-14,18-25,Budget
453,5,2025-12-31,26-35,Occasional
454,5,2026-07-17,36-45,Premium
455,5,2026-01-14,18-25,Occasional
456,2,2026-04-05,18-25,At-Risk
457,5,2026-02-28,26-35,Premium
458,4,2026-01-05,18-25,At-Risk
459,2,2025-09-24,18-25,At-Risk
460,1,2026-04-29,26-35,Frequent
461,5,2025-12-14,18-25,Occasional
462,1,2025-11-17,46-60,At-Risk
463,1,2026-04-10,46-60,Premium
464,5,2026-04-20,26-35,At-Risk
465,3,2025-09-21,18-25,Occasional
466,2,2026-01-20,26-35,Frequent
467,4,2025-11-26,46-60,Frequent
468,5,2025-09-12,36-45,Premium
469,2,2026-06-17,46-60,Frequent
470,3,2025-09-14,46-60,Premium
471,5,2026-04-20,26-35,Occasional
472,1,2025-09-25,18-25,At-Risk
473,5,2025-10-16,36-45,Budget
474,1,2025-09-06,26-35,Occasional
475,3,2025-08-28,46-60,Frequent
476,2,2025-09-14,36-45,Premium
477,1,2026-07-09,36-45,At-Risk
478,1,2026-05-16,26-35,At-Risk
479,4,2026-03-18,18-25,Premium
480,5,2026-07-02,18-25,Frequent
481,1,2026-02-26,26-35,Budget
482,3,2026-01-22,36-45,At-Risk
483,2,2025-12-01,46-60,Budget
484,2,2026-05-03,36-45,Frequent
485,2,2025-11-08,18-25,Premium
486,2,2025-11-04,26-35,At-Risk
487,3,2026-07-19,46-60,At-Risk
488,5,2026-07-24,18-25,Frequent
489,3,2025-12-01,36-45,At-Risk
490,4,2026-02-06,18-25,Budget
491,5,2026-03-28,26-35,At-Risk
492,5,2026-08-07,36-45,At-Risk
493,5,2026-02-11,26-35,Frequent
494,5,2025-11-13,26-35,Premium
495,5,2026-03-03,18-25,Budget
496,5,2025-11-28,26-35,At-Risk
497,2,2026-07-28,18-25,Frequent
498,3,2026-04-27,26-35,Budget
499,1,2026-01-29,26-35,Occasional
500,1,2026-06-01,18-25,Premium
501,2,2025-11-16,36-45,Frequent
502,1,2026-06-17,18-25,Budget
503,1,2026-06-28,36-45,Frequent
504,1,2026-02-27,36-45,Occasional
505,3,2026-02-23,46-60,Frequent
506,2,2025-11-16,18-25,Occasional
507,1,2025-08-31,46-60,At-Risk
508,1,2026-03-10,26-35,Budget
509,1,2026-03-13,18-25,Frequent
510,3,2026-02-06,26-35,Premium
511,1,2025-09-10,26-35,Occasional
512,1,2026-01-12,36-45,Premium
513,1,2026-06-10,18-25,Occasional
514,5,2026-05-01,18-25,Premium
515,5,2025-10-07,36-45,Premium
516,5,2025-12-06,26-35,At-Risk
517,1,2026-07-30,46-60,Budget
518,5,2025-10-21,26-35,Premium
519,1,2026-02-28,18-25,Occasional
520,4,2026-02-09,36-45,Premium
521,4,2025-12-12,18-25,Frequent
522,4,2026-03-22,46-60,At-Risk
523,2,2026-07-09,46-60,Budget
524,4,2026-01-29,36-45,Budget
525,4,2026-03-19,18-25,Frequent
526,5,2026-08-09,46-60,At-Risk
527,4,2025-12-17,18-25,Premium
528,4,2026-07-27,18-25,Premium
529,4,2026-05-10,18-25,Premium
530,4,2026-06-12,26-35,Premium
531,3,2026-07-31,18-25,Budget
532,1,2026-08-06,46-60,Premium
533,2,2026-04-16,36-45,Frequent
534,3,2026-05-23,46-60,At-Risk
535,2,2025-12-02,46-60,Frequent
536,3,2026-07-28,46-60,Premium
537,5,2025-10-22,46-60,Frequent
538,5,2026-01-03,18-25,Premium
539,3,2026-05-23,26-35,Premium
540,3,2025-12-20,26-35,At-Risk
541,2,2026-01-29,18-25,Frequent
542,1,2025-11-10,18-25,Premium
543,1,2025-10-07,26-35,Budget
544,2,2025-09-01,18-25,Premium
545,5,2025-12-04,36-45,Premium
546,1,2026-05-24,26-35,Budget
547,5,2025-11-09,26-35,Occasional
548,2,2025-11-06,46-60,Premium
549,2,2026-02-12,18-25,At-Risk
550,2,2025-12-21,26-35,Premium
551,4,2026-02-20,46-60,Occasional
552,3,2026-05-16,18-25,Premium
553,4,2025-10-19,36-45,At-Risk
554,3,2025-12-14,18-25,At-Risk
555,3,2026-03-31,26-35,Frequent
556,1,2025-11-22,36-45,Occasional
557,4,2026-03-29,46-60,Premium
558,1,2025-12-02,26-35,Premium
559,4,2025-09-16,26-35,Budget
560,2,2026-06-17,26-35,Budget
561,4,2025-12-10,18-25,Premium
562,2,2026-05-07,18-25,At-Risk
563,5,2026-07-14,18-25,Budget
564,3,2025-11-23,36-45,Frequent
565,3,2026-02-12,46-60,Frequent
566,1,2026-01-06,36-45,Premium
567,3,2026-04-17,46-60,Premium
568,1,2026-05-10,46-60,Occasional
569,4,2026-03-14,36-45,Frequent
570,5,2026-02-23,18-25,Occasional
571,1,2026-04-20,46-60,Budget
572,1,2026-03-05,18-25,At-Risk
573,5,2025-12-04,46-60,Frequent
574,4,2025-08-31,36-45,At-Risk
575,4,2025-09-04,26-35,Occasional
576,3,2025-12-22,46-60,At-Risk
577,1,2026-03-09,46-60,At-Risk
578,3,2026-03-16,26-35,Occasional
579,4,2026-05-08,36-45,At-Risk
580,2,2025-11-17,46-60,Frequent
581,1,2026-05-27,18-25,Premium
582,3,2026-08-11,46-60,Premium
583,3,2025-12-12,18-25,Occasional
584,4,2026-06-27,26-35,Premium
585,5,2025-10-15,18-25,Occasional
586,4,2026-03-17,46-60,Budget
587,1,2025-08-25,46-60,Frequent
588,2,2026-02-07,18-25,At-Risk
589,1,2026-07-26,46-60,Occasional
590,3,2026-03-10,36-45,Premium
591,5,2026-01-14,36-45,Occasional
592,5,2025-09-08,26-35,Frequent
593,4,2026-07-07,46-60,Frequent
594,1,2026-07-21,26-35,Occasional
595,3,2026-06-02,46-60,Premium
596,3,2025-10-28,18-25,Occasional
597,2,2025-12-27,46-60,At-Risk
598,4,2025-09-16,26-35,Occasional
599,2,2026-02-24,18-25,Premium
600,2,2026-03-31,26-35,Frequent
601,4,2026-05-02,46-60,Frequent
602,5,2025-11-27,46-60,Frequent
603,2,2026-07-07,26-35,Budget
604,3,2025-11-08,26-35,Budget
605,1,2025-09-12,26-35,Premium
606,2,2025-10-28,46-60,Frequent
607,3,2026-02-11,46-60,At-Risk
608,1,2025-10-24,36-45,At-Risk
609,4,2026-01-30,36-45,Frequent
610,4,2026-03-07,36-45,At-Risk
611,1,2026-04-20,46-60,Budget
612,3,2025-11-19,36-45,Occasional
613,1,2025-09-05,46-60,Budget
614,1,2026-01-21,18-25,Budget
615,2,2025-09-27,46-60,Occasional
616,1,2026-08-11,46-60,Premium
617,4,2026-01-25,36-45,Occasional
618,4,2026-02-04,46-60,Budget
619,1,2026-04-22,46-60,Occasional
620,2,2026-05-09,46-60,Occasional
621,4,2025-09-13,36-45,At-Risk
622,3,2026-01-18,26-35,Occasional
623,3,2026-03-21,36-45,Budget
624,2,2025-10-31,26-35,At-Risk
625,3,2025-11-22,36-45,Frequent
626,3,2026-04-04,18-25,Frequent
627,1,2026-05-25,18-25,Premium
628,5,2026-04-02,36-45,Budget
629,5,2026-03-29,46-60,At-Risk
630,5,2025-12-26,36-45,Budget
631,5,2026-01-25,36-45,Budget
632,1,2026-07-10,36-45,Premium
633,2,2025-11-14,36-45,At-Risk
634,3,2025-10-08,18-25,Frequent
635,2,2026-03-26,18-25,At-Risk
636,4,2026-04-08,36-45,Occasional
637,5,2026-04-05,36-45,Premium
638,4,2025-09-22,36-45,At-Risk
639,4,2025-12-28,18-25,Occasional
640,2,2026-01-01,46-60,Budget
641,4,2026-06-03,18-25,Occasional
642,4,2026-05-12,26-35,Budget
643,1,2026-07-17,36-45,At-Risk
644,3,2026-08-11,46-60,Budget
645,5,2025-11-03,36-45,At-Risk
646,2,2025-09-10,46-60,Budget
647,1,2025-11-25,46-60,Budget
648,5,2026-07-09,18-25,At-Risk
649,3,2025-10-13,36-45,Frequent
650,2,2026-06-17,46-60,Premium
651,5,2026-04-28,46-60,Premium
652,4,2026-04-07,36-45,Occasional
653,3,2026-07-30,26-35,Premium
654,1,2026-01-30,46-60,Frequent
655,1,2025-10-13,46-60,Premium
656,4,2025-11-15,26-35,Premium
657,2,2025-11-14,36-45,Frequent
658,2,2025-09-01,18-25,Frequent
659,1,2026-07-30,18-25,Occasional
660,2,2026-03-26,36-45,Budget
661,1,2026-05-29,18-25,Frequent
662,1,2026-01-03,18-25,Budget
663,2,2026-01-18,26-35,Frequent
664,2,2026-04-22,46-60,Premium
665,5,2026-08-02,26-35,Premium
666,4,2026-05-11,26-35,At-Risk
667,1,2026-03-22,36-45,Premium
668,3,2026-08-14,26-35,Frequent
669,5,2026-01-07,46-60,Premium
670,3,2026-03-27,46-60,At-Risk
671,2,2025-11-10,18-25,Occasional
672,2,2025-12-29,46-60,Budget
673,5,2026-04-25,36-45,Budget
674,3,2025-09-04,18-25,At-Risk
675,2,2025-11-11,46-60,Premium
676,5,2026-03-18,36-45,Occasional
677,4,2026-07-13,46-60,At-Risk
678,2,2025-10-11,36-45,Occasional
679,3,2026-03-06,36-45,At-Risk
680,5,2026-03-28,26-35,Frequent
681,2,2026-02-16,36-45,Budget
682,2,2025-09-06,18-25,Frequent
683,1,2026-05-03,26-35,Budget
684,2,2026-01-03,18-25,Premium
685,1,2026-01-11,46-60,At-Risk
686,5,2025-10-22,36-45,At-Risk
687,4,2025-09-01,26-35,Frequent
688,3,2025-09-16,26-35,At-Risk
689,4,2025-12-28,46-60,Occasional
690,1,2026-03-09,46-60,Budget
691,5,2026-04-06,46-60,Frequent
692,1,2026-02-26,26-35,Budget
693,5,2026-06-14,36-45,At-Risk
694,3,2026-07-06,26-35,Occasional
695,2,2026-03-11,36-45,At-Risk
696,3,2026-01-18,46-60,At-Risk
697,3,2026-08-13,46-60,Occasional
698,1,2026-03-20,46-60,Budget
699,4,2026-06-09,26-35,Budget
700,2,2026-05-01,18-25,Budget
701,4,2025-12-09,18-25,Occasional
702,5,2025-10-05,26-35,Frequent
703,2,2026-05-18,18-25,At-Risk
704,5,2026-06-05,26-35,Premium
705,2,2025-12-28,18-25,Premium
